Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
240093,MAYO CLINIC HEALTH SYSTEM - MANKATO,1025 MARSH STREET BOX 8673,,,MANKATO,MN,56002,BLUE EARTH,5076254031,4%,21%,75%,5%,19%,76%,10%,28%,62%,7%,25%,68%,19%,21%,60%,6%,23%,71%,16%,39%,45%,79%,21%,10%,30%,60%,5%,28%,67%,300 or more,43%,
240100,NORTH COUNTRY REGIONAL HOSPITAL,1300 ANNE ST NW,,,BEMIDJI,MN,56601,BELTRAMI,2187515430,5%,24%,71%,4%,18%,78%,16%,32%,52%,8%,30%,62%,22%,21%,57%,10%,23%,67%,11%,33%,56%,79%,21%,12%,29%,59%,6%,33%,61%,300 or more,29%,
240101,ESSENTIA HEALTH ST MARYS,1027 WASHINGTON AVE,,,DETROIT LAKES,MN,56501,BECKER,2188470852,3%,20%,77%,4%,14%,82%,6%,23%,71%,5%,24%,71%,18%,21%,61%,6%,19%,75%,7%,31%,62%,81%,19%,6%,27%,67%,3%,30%,67%,300 or more,40%,
240104,ST FRANCIS REGIONAL MEDICAL CENTER,1455 ST FRANCIS AVENUE,,,SHAKOPEE,MN,55379,SCOTT,9524033000,3%,20%,77%,5%,17%,78%,7%,27%,66%,6%,25%,69%,19%,20%,61%,7%,19%,74%,6%,28%,66%,85%,15%,7%,21%,72%,4%,22%,74%,300 or more,34%,
240106,REGIONS HOSPITAL,640 JACKSON STREET,,,SAINT PAUL,MN,55101,RAMSEY,6512540975,4%,21%,75%,4%,18%,78%,10%,33%,57%,5%,31%,64%,22%,19%,59%,5%,21%,74%,7%,29%,64%,89%,11%,7%,19%,74%,4%,21%,75%,300 or more,36%,
240115,MERCY HOSPITAL,4050 COON RAPIDS BLVD,,,COON RAPIDS,MN,55433,ANOKA,7632366000,3%,21%,76%,4%,20%,76%,8%,29%,63%,6%,27%,67%,20%,20%,60%,9%,21%,70%,10%,35%,55%,87%,13%,7%,26%,67%,3%,26%,71%,300 or more,37%,
240117,MAYO CLINIC HEALTH SYSTEM - AUSTIN,1000 FIRST DRIVE NORTHWEST,,,AUSTIN,MN,55912,MOWER,5074337351,3%,22%,75%,4%,16%,80%,5%,28%,67%,6%,26%,68%,18%,23%,59%,6%,15%,79%,12%,33%,55%,83%,17%,5%,29%,66%,3%,34%,63%,300 or more,37%,
240132,UNITY HOSPITAL,550 OSBORNE ROAD,,,FRIDLEY,MN,55432,ANOKA,7632365000,4%,25%,71%,5%,20%,75%,13%,31%,56%,7%,28%,65%,22%,22%,56%,10%,27%,63%,12%,37%,51%,85%,15%,10%,30%,60%,6%,31%,63%,300 or more,34%,
240141,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,911 NORTHLAND DR,,,PRINCETON,MN,55371,MILLE LACS,7633891313,3%,17%,80%,3%,15%,82%,5%,23%,72%,4%,20%,76%,16%,19%,65%,4%,14%,82%,8%,32%,60%,84%,16%,5%,22%,73%,3%,24%,73%,300 or more,40%,There were discrepancies in the data collection process
240166,MAYO CLINIC HEALTH SYSTEM - FAIRMONT,"835 JOHNSON STREET, PO BOX 835",,,FAIRMONT,MN,56031,MARTIN,5072388100,2%,22%,76%,2%,13%,85%,6%,35%,59%,3%,25%,72%,18%,23%,59%,6%,19%,75%,7%,36%,57%,87%,13%,4%,30%,66%,3%,32%,65%,300 or more,41%,
240187,HUTCHINSON AREA HEALTH CARE,1095 HIGHWAY 15 SOUTH,,,HUTCHINSON,MN,55350,MCLEOD,3202345000,1%,25%,74%,3%,18%,79%,6%,27%,67%,6%,26%,68%,17%,23%,60%,4%,22%,74%,7%,26%,67%,86%,14%,6%,27%,67%,3%,32%,65%,300 or more,39%,
240196,PHILLIPS EYE INSTITUTE,2215 PARK AVENUE SOUTH,,,MINNEAPOLIS,MN,55404,HENNEPIN,6127758815,2%,9%,89%,3%,9%,88%,2%,4%,94%,7%,15%,78%,10%,4%,86%,6%,8%,86%,5%,11%,84%,85%,15%,3%,12%,85%,2%,8%,90%,Between 100 and 299,54%,
240206,RED LAKE HOSPITAL,PO BOX 497,,,REDLAKE,MN,56671,BELTRAMI,2186793912,6%,19%,75%,6%,10%,84%,9%,35%,56%,13%,40%,47%,7%,25%,68%,7%,26%,67%,3%,7%,90%,70%,30%,23%,14%,63%,7%,50%,43%,Fewer than 100,8%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
240207,FAIRVIEW RIDGES HOSPITAL,201 EAST NICOLLET BOULEVARD,,,BURNSVILLE,MN,55337,DAKOTA,9528922000,3%,24%,73%,4%,19%,77%,8%,32%,60%,5%,27%,68%,22%,18%,60%,10%,23%,67%,8%,36%,56%,86%,14%,6%,28%,66%,3%,25%,72%,300 or more,40%,
240210,HEALTHEAST ST JOHN'S HOSPITAL,1575 BEAM AVENUE,,,MAPLEWOOD,MN,55109,RAMSEY,6512327000,4%,24%,72%,5%,24%,71%,11%,31%,58%,10%,27%,63%,20%,24%,56%,9%,25%,66%,14%,39%,47%,84%,16%,8%,28%,64%,3%,25%,72%,300 or more,37%,
240213,HEALTHEAST WOODWINDS HOSPITAL,1925 WOODWINDS DRIVE,,,WOODBURY,MN,55125,WASHINGTON,6512326880,4%,19%,77%,6%,21%,73%,8%,27%,65%,8%,23%,69%,20%,20%,60%,8%,18%,74%,8%,27%,65%,86%,14%,5%,14%,81%,3%,16%,81%,300 or more,42%,
240214,MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,,,MAPLE GROVE,MN,55369,HENNEPIN,7635811000,3%,20%,77%,5%,17%,78%,8%,27%,65%,7%,30%,63%,20%,19%,61%,9%,20%,71%,7%,23%,70%,84%,16%,5%,16%,79%,3%,12%,85%,300 or more,48%,
241300,MAHNOMEN HEALTH CENTER,414 W JEFFERSON,,,MAHNOMEN,MN,56557,MAHNOMEN,2189352511,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241301,LAKEWOOD HEALTH CENTER,600 MAIN AVE S,,,BAUDETTE,MN,56623,LAKE OF THE WOODS,2186342120,2%,11%,87%,0%,12%,88%,2%,13%,85%,3%,23%,74%,6%,24%,70%,4%,10%,86%,4%,28%,68%,91%,9%,0%,13%,87%,0%,16%,84%,Fewer than 100,37%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241302,SANFORD WESTBROOK MEDICAL CENTER,920 BELL AVENUE PO BOX 188,,,WESTBROOK,MN,56183,COTTONWOOD,5072746121,0%,2%,98%,1%,7%,92%,0%,10%,90%,0%,14%,86%,10%,18%,72%,6%,1%,93%,3%,26%,71%,83%,17%,4%,3%,93%,0%,15%,85%,Fewer than 100,44%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241303,SANFORD TRACY,251 FIFTH STREET EAST,,,TRACY,MN,56175,LYON,5076293200,2%,23%,75%,6%,27%,67%,5%,25%,70%,4%,41%,55%,20%,28%,52%,3%,14%,83%,10%,24%,66%,83%,17%,9%,24%,67%,3%,28%,69%,Fewer than 100,44%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241304,SANFORD MEDICAL CENTER WHEATON,401 12TH STREET NORTH,,,WHEATON,MN,56296,TRAVERSE,3205638226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241305,RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,,,AITKIN,MN,56431,AITKIN,2189275501,2%,20%,78%,3%,15%,82%,3%,19%,78%,3%,26%,71%,16%,17%,67%,3%,11%,86%,9%,33%,58%,86%,14%,4%,20%,76%,2%,21%,77%,300 or more,44%,
241306,RENVILLE COUNTY HOSPITAL AND CLINICS,611 EAST FAIRVIEW,,,OLIVIA,MN,56277,RENVILLE,3205231261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241308,LAKE VIEW MEMORIAL HOSPITAL,325 ELEVENTH AVE,,,TWO HARBORS,MN,55616,LAKE,2188347300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241309,ESSENTIA HEALTH SANDSTONE,109 COURT AVE SOUTH,,,SANDSTONE,MN,55072,PINE,3202455601,4%,17%,79%,2%,15%,83%,9%,29%,62%,4%,26%,70%,8%,24%,68%,8%,24%,68%,11%,31%,58%,87%,13%,4%,28%,68%,5%,25%,70%,Fewer than 100,30%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241311,SIBLEY MEDICAL CENTER,601 WEST CHANDLER,,,ARLINGTON,MN,55307,SIBLEY,5079642271,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241312,COOK HOSPITAL,10 SE FIFTH ST,,,COOK,MN,55723,SAINT LOUIS,2186665945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241313,ESSENTIA HEALTH ADA,201 9TH STREET WEST,,,ADA,MN,56510,NORMAN,2187845000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241314,JOHNSON MEMORIAL HOSPITAL,1282 WALNUT STREET,,,DAWSON,MN,56232,LAC QUI PARLE,3207694323,1%,18%,81%,2%,18%,80%,3%,22%,75%,1%,23%,76%,6%,22%,72%,3%,19%,78%,4%,29%,67%,78%,22%,2%,15%,83%,1%,15%,84%,Fewer than 100,48%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance., There were discrepancies in the data collection process"
241315,SANFORD JACKSON MEDICAL CENTER,1430 NORTH HIGHWAY,,,JACKSON,MN,56143,JACKSON,5078472420,2%,21%,77%,2%,16%,82%,1%,27%,72%,6%,34%,60%,5%,31%,64%,3%,17%,80%,2%,28%,70%,85%,15%,9%,28%,63%,6%,32%,62%,Fewer than 100,35%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241316,BIGFORK VALLEY HOSPITAL,258 PINE TREE DRIVE PO BOX 258,,,BIGFORK,MN,56628,ITASCA,2187433177,3%,6%,91%,2%,5%,93%,2%,9%,89%,3%,16%,81%,9%,12%,79%,1%,5%,94%,3%,18%,79%,90%,10%,2%,10%,88%,2%,5%,93%,Between 100 and 299,53%,
241317,COOK COUNTY NORTHSHORE HOSPITAL,515 5TH AVE WEST,,,GRAND MARAIS,MN,55604,COOK,2183873040,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241318,ELY BLOOMENSON COMMUNITY HOSPITAL,328 WEST CONAN STREET,,,ELY,MN,55731,SAINT LOUIS,2183653271,0%,17%,83%,2%,10%,88%,1%,19%,80%,2%,20%,78%,10%,26%,64%,7%,14%,79%,1%,27%,72%,79%,21%,5%,25%,70%,3%,23%,74%,Between 100 and 299,50%,
241319,MURRAY COUNTY MEMORIAL HOSPITAL,2042 JUNIPER AVENUE,,,SLAYTON,MN,56172,MURRAY,5078361277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241320,RIVERVIEW HOSPITAL,323 SOUTH MINNESOTA,,,CROOKSTON,MN,56716,POLK,2182819200,3%,17%,80%,2%,13%,85%,6%,22%,72%,5%,26%,69%,15%,21%,64%,6%,18%,76%,5%,33%,62%,83%,17%,4%,27%,69%,2%,24%,74%,Between 100 and 299,41%,
241321,ESSENTIA HEALTH HOLY TRINITY HOSPITAL,"115  SECOND STREET WEST, BOX 157",,,GRACEVILLE,MN,56240,BIG STONE,3207487223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241322,RAINY LAKE MEDICAL CENTER,1400 HIGHWAY 71,,,INTERNATIONAL FALLS,MN,56649,KOOCHICHING,2182835400,4%,20%,76%,4%,10%,86%,8%,21%,71%,8%,22%,70%,13%,18%,69%,7%,19%,74%,7%,27%,66%,89%,11%,13%,26%,61%,6%,35%,59%,Between 100 and 299,36%,
241323,MADELIA COMMUNITY HOSPITAL,121 DREW AVENUE SOUTHEAST,,,MADELIA,MN,56062,WATONWAN,5076423255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241325,CHIPPEWA COUNTY HOSPITAL,824 NORTH 11TH STREET,,,MONTEVIDEO,MN,56265,CHIPPEWA,3202698878,4%,26%,70%,3%,15%,82%,7%,28%,65%,6%,28%,66%,21%,21%,58%,7%,17%,76%,6%,26%,68%,82%,18%,8%,24%,68%,4%,28%,68%,300 or more,46%,There were discrepancies in the data collection process
241326,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,20 NINTH STREET SOUTHEAST,,,LONG PRAIRIE,MN,56347,TODD,3207327210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241327,SLEEPY EYE MUNICIPAL HOSPITAL,400 FOURTH AVENUE NORTHWEST,,,SLEEPY EYE,MN,56085,BROWN,5077943571,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241328,CLEARWATER CTY MEMORIAL HOSPITAL,203 FOURTH STREET NORTHWEST,,,BAGLEY,MN,56621,CLEARWATER,2186946501,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241329,LAKEWOOD HEALTH SYSTEM,49725 COUNTY ROAD 83,,,STAPLES,MN,56479,TODD,2188941515,3%,14%,83%,2%,13%,85%,4%,20%,76%,3%,23%,74%,14%,18%,68%,3%,16%,81%,5%,26%,69%,84%,16%,4%,11%,85%,2%,13%,85%,300 or more,38%,
241330,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,525 WEST MAIN STREET,,,MELROSE,MN,56352,STEARNS,3202564231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241331,ALBANY AREA HOSPITAL,300 THIRD AVENUE,,,ALBANY,MN,56307,STEARNS,3208452121,1%,13%,86%,0%,9%,91%,4%,14%,82%,2%,16%,82%,7%,17%,76%,6%,14%,80%,5%,25%,70%,90%,10%,4%,15%,81%,2%,15%,83%,Fewer than 100,36%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241332,WINDOM AREA HOSPITAL,"2150 HOSPITAL DRIVE, PO BOX 339",,,WINDOM,MN,56101,COTTONWOOD,5078312400,1%,14%,85%,3%,11%,86%,1%,16%,83%,5%,25%,70%,12%,19%,69%,2%,14%,84%,6%,25%,69%,77%,23%,5%,25%,70%,2%,22%,76%,Between 100 and 299,44%,
241333,MAYO CLINIC HEALTH SYSTEM - ST JAMES,1101 MOULTON AND PARSONS DRIVE,,,ST JAMES,MN,56081,WATONWAN,5073753261,1%,16%,83%,1%,12%,87%,1%,9%,90%,1%,10%,89%,16%,17%,67%,0%,9%,91%,1%,15%,84%,92%,8%,2%,28%,70%,4%,21%,75%,Fewer than 100,43%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241334,RIVER'S EDGE HOSPITAL & CLINIC,1900 NORTH SUNRISE DRIVE,,,ST PETER,MN,56082,NICOLLET,5079312200,2%,13%,85%,4%,10%,86%,2%,17%,81%,5%,19%,76%,11%,6%,83%,1%,8%,91%,1%,19%,80%,86%,14%,4%,11%,85%,3%,14%,83%,Fewer than 100,40%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241335,ST ELIZABETH MEDICAL CENTER,1200 GRANT BLVD W,,,WABASHA,MN,55981,WABASHA,6515654531,2%,14%,84%,3%,10%,87%,3%,14%,83%,3%,26%,71%,10%,17%,73%,2%,8%,90%,7%,35%,58%,90%,10%,3%,11%,86%,2%,11%,87%,Between 100 and 299,47%,
241336,KITTSON MEMORIAL HOSPITAL,1010 SOUTH BIRCH,,,HALLOCK,MN,56728,KITTSON,2188433612,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241337,NORTH VALLEY HEALTH CENTER,109 SOUTH MINNESOTA STREET,,,WARREN,MN,56762,MARSHALL,2187454211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241338,MAYO CLINIC HEALTH SYSTEM - LAKE CITY,500 WEST GRANT STREET,,,LAKE CITY,MN,55041,WABASHA,6513453321,2%,19%,79%,4%,16%,80%,3%,28%,69%,7%,23%,70%,20%,23%,57%,6%,14%,80%,10%,33%,57%,82%,18%,6%,26%,68%,3%,29%,68%,Between 100 and 299,45%,
241339,HENDRICKS COMMUNITY HOSPITAL,503 E LINCOLN STREET,,,HENDRICKS,MN,56136,LINCOLN,5072753134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241340,NORTHERN PINES MEDICAL CENTER,5211 HIGHWAY 110,,,AURORA,MN,55705,SAINT LOUIS,2182292211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241341,APPLETON MUNICIPAL HOSPITAL,30 SOUTH BEHL STREET,,,APPLETON,MN,56208,SWIFT,3202892422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241342,ORTONVILLE AREA HEALTH SERVICES,450 EASTVOLD AVE,,,ORTONVILLE,MN,56278,BIG STONE,3208392502,2%,16%,82%,3%,9%,88%,2%,24%,74%,3%,22%,75%,10%,18%,72%,4%,11%,85%,2%,29%,69%,85%,15%,3%,20%,77%,2%,19%,79%,Between 100 and 299,49%,
241343,MUNICIPAL HOSPITAL AND GRANITE MANOR,345 TENTH AVENUE,,,GRANITE FALLS,MN,56241,YELLOW MEDICINE,3205643111,3%,20%,77%,2%,15%,83%,4%,14%,82%,7%,23%,70%,20%,20%,60%,4%,23%,73%,9%,37%,54%,81%,19%,6%,25%,69%,4%,24%,72%,Between 100 and 299,43%,There were discrepancies in the data collection process
241344,LIFECARE MEDICAL CENTER,715 DELMORE DRIVE,,,ROSEAU,MN,56751,ROSEAU,2184632500,2%,23%,75%,2%,12%,86%,5%,25%,70%,4%,26%,70%,13%,21%,66%,3%,21%,76%,10%,27%,63%,87%,13%,7%,23%,70%,2%,31%,67%,Between 100 and 299,47%,
241345,MAYO CLINIC HEALTH SYSTEM - WASECA,501 NORTH STATE STREET,,,WASECA,MN,56093,WASECA,5078351210,2%,20%,78%,5%,15%,80%,11%,21%,68%,17%,18%,65%,14%,17%,69%,7%,23%,70%,7%,23%,70%,82%,18%,8%,28%,64%,5%,42%,53%,Fewer than 100,43%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241346,MAYO CLINIC HEALTH SYSTEM - CANNON FALLS,1116 WEST MILL STREET,,,CANNON FALLS,MN,55009,GOODHUE,5072634221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241347,SYLVAN COURT,112 ST OLAF AVENUE SOUTH,,,CANBY,MN,56220,YELLOW MEDICINE,5072237277,3%,17%,80%,2%,16%,82%,8%,22%,70%,6%,26%,68%,12%,16%,72%,8%,20%,72%,9%,35%,56%,88%,12%,3%,20%,77%,0%,24%,76%,Between 100 and 299,40%,
241348,TYLER HEALTHCARE CENTER,240 WILLOW STREET,,,TYLER,MN,56178,LINCOLN,5072475521,2%,16%,82%,1%,12%,87%,2%,10%,88%,2%,16%,82%,9%,21%,70%,6%,16%,78%,1%,19%,80%,90%,10%,3%,22%,75%,2%,19%,79%,Fewer than 100,45%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
241349,PAYNESVILLE AREA HOSPITAL,200 1ST STREET WEST,,,PAYNESVILLE,MN,56362,STEARNS,3202433767,2%,14%,84%,4%,14%,82%,3%,20%,77%,3%,23%,74%,10%,22%,68%,4%,13%,83%,7%,16%,77%,87%,13%,4%,19%,77%,2%,19%,79%,Between 100 and 299,50%,
241350,MERCY HOSPITAL & HEALTH CARE CENTER,710 KENWOOD AVENUE,,,MOOSE LAKE,MN,55767,CARLTON,2184854481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
241351,REDWOOD AREA HOSPITAL,100 FALLWOOD ROAD,,,REDWOOD FALLS,MN,56283,REDWOOD,5076374511,2%,19%,79%,3%,11%,86%,2%,22%,76%,3%,28%,69%,10%,18%,72%,2%,16%,82%,3%,20%,77%,93%,7%,5%,19%,76%,2%,24%,74%,Between 100 and 299,46%,There were discrepancies in the data collection process
241352,MAYO CLINIC HEALTH SYSTEM - SPRINGFIELD,625 NORTH JACKSON STREET,,,SPRINGFIELD,MN,56087,BROWN,5077236201,1%,17%,82%,2%,13%,85%,2%,18%,80%,2%,27%,71%,12%,18%,70%,2%,8%,90%,3%,24%,73%,83%,17%,3%,15%,82%,1%,15%,84%,Between 100 and 299,44%,
241353,CUYUNA REGIONAL MEDICAL CENTER,320 EAST MAIN STREET,,,CROSBY,MN,56441,CROW WING,2185467000,2%,18%,80%,2%,13%,85%,5%,25%,70%,6%,23%,71%,15%,17%,68%,5%,17%,78%,6%,34%,60%,84%,16%,3%,17%,80%,1%,11%,88%,300 or more,49%,
